26	波	5395
843	铁	5369
236	笨	5349
884	推	5296
7426	骗	5243
7464	轻	5236
426	含	5223
542	俩	5217
54264	江	5217
548	九	5217
7426	千	5217
6426	秒	5204
586	落	5191
3826	短	5185
7464	青	5178
543	节	5152
88	土	5101
543	姐	5089
226	板	5076
58	苦	5038
4664	公	5026
74	皮	5013
526	烂	5013
586	君	5013
26	博	5007
584	亏	4988
54	立	4957
54	利	4951
34	睇	4939
6464	命	4908
5464	静	4902
646	民	4896
8264	汤	4871
2464	冰	4841
3826	断	4835
324	呆	4817
28	布	4781
8426	田	4781
4664	供	4781
546	尽	4781
226	抱	4769
7264	胖	4710
746	品	4693
546	紧	4681
58	绿	4675
48	故	4669
7426	签	4658
8426	调	4646
38	服	4634
54264	奖	4629
2464	兵	4611
8426	填	4606
224	百	4588
226	般	4577
226	保	4532
486	果	4532
326	凡	4520
426	寒	4520
8426	挑	4515
66	莫	4509
8264	唐	4509
54	鸡	4509
942	夏	4503
54	寄	4492
3264	防	4470
626	闹	4470
5464	竟	4453
58	距	4448
84	题	4442
4826	官	4437
543	街	4420
48	古	4404
54264	亮	4387
3364	灯	4376
74664	穷	4376
486	郭	4365
7426	桥	4360
94	戏	4360
226	爆	4354
3264	党	4354
336	粉	4338
6426	念	4327
324	戴	4306
8364	疼	4306
426	韩	4279
568	扣	4258
643	捏	4237
5264	狼	4237
4264	港	4237
534	雷	4231
424	盖	4231
526	兰	4205
58264	狂	4205
36	佛	4148
54264	梁	4148
6364	猛	4138
546	今	4112
74	齐	4112
886	托	4107
436	恨	4102
53	客	4081
884	腿	4066
5464	领	4061
62	码	4046
58	句	4021
3464	丁	4011
783	缺	3991
5264	抗	3971
543	界	3961
586	困	3946
43	河	3946
28	步	3931
368	否	3931
38	福	3902
6464	宁	3897
24	必	3878
748	秋	3839
3826	端	3825
38	毒	3811
486	滚	3811
486	获	3801
746	秦	3797
5826	卷	3792
542	架	3782
484	归	3754
84	踢	3745
48264	广	3745
5464	灵	3722
226	搬	3708
64	迷	3703
426	赶	3694
54	基	3694
624	乃	3671
542	甲	3666
886	拖	3653
66	摸	3639
22	爸	3625
3464	订	3616
82	塔	3616
7826	圈	3567
